model_output,target,scores,scores_inserts
nembala abantu babilapha,"Nembala, abantu babi lapha.","['111111111111011111111111', '111111111011011010111111']","['[]', '[]']"
nembale amanzu babilapha,"Nembala, abantu babi lapha.",['111111011011011010111111'],['[]']
nembala abantu babilapha,"Nembala, abantu babi lapha.",['111111111011111010111111'],['[]']
nembala abantu babilapha,"Nembala, abantu babi lapha.",['111111111011011010111111'],['[]']
ngibhala abantu babelape,"Nembala, abantu babi lapha.",['110111111011011010111110'],"['[""1""]']"
umth wana muhle,Umntwana muhle.,"['1110111111111', '1110111111111', '1110111111111']","['[]', '[]', '[]']"
umth wana muhle,Umntwana muhle.,"['1110111111111', '1110111111111']","['[]', '[]']"
umntwana muhle,Umntwana muhle.,['1111111111111'],['[]']
umnt wana muhle,Umntwana muhle.,"['1111111111111', '1111111111111', '1111111111111']","['[]', '[]', '[]']"
umnt wana muhle,Umntwana muhle.,['1111111111111'],['[]']
umntwana muhle,Umntwana muhle.,"['1111111111111', '1111111111111']","['[]', '[]']"
umntwana muhle,Umntwana muhle.,['1111111111111'],['[]']
umthwana mushle,Umntwana muhle.,"['1110111111101', '1111111111111', '1110111111101']","['[]', '[]', '[]']"
umudwana mundle,Umntwana muhle.,['1111111111111'],"['[""2"", ""11""]']"
umnt wana muhle,Umntwana muhle.,['1111111111111'],['[]']
umt wana muhle,Umntwana muhle.,['1111111111111'],['[]']
um thwana muhle,Umntwana muhle.,['1111111111111'],"['[""2""]']"
imingodi lapha miningi,Imigodi lapha miningi.,"['1111111111111111111', '1111111111111111111', '1111111111111111111']","['[]', '[]', '[]']"
ningathengi,Imigodi lapha miningi.,['1111111111111111111'],['[]']
imigodi lapha umningi,Imigodi lapha miningi.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
imigodi lapha miningi,Imigodi lapha miningi.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
imigodi lapha miningi,Imigodi lapha miningi.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
imigodi lapha miningi,Imigodi lapha miningi.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
imigodi lapha miningi,Imigodi lapha miningi.,['1111111111111111111'],['[]']
imigodi labha mining,Imigodi lapha miningi.,['1111111111111111111'],['[]']
imigodi lapha miningi,Imigodi lapha miningi.,['1111111111111111111'],['[]']
imigodi lapa miningi,Imigodi lapha miningi.,['1111111111111111111'],['[]']
imigodi lapha miningi,Imigodi lapha miningi.,['1111111111111111111'],['[]']
imigodi lapha mine,Imigodi lapha miningi.,['1111111111111111100'],['[]']
ingathengi,Ningathengi.,['11111111'],['[]']
ungithandile,Ningathengi.,"['11111111', '11111111']","['[]', '[]']"
ngingathengi,Ningathengi.,"['01111111', '11111111']","['[]', '[""0"", ""1""]']"
ningathengi,Ningathengi.,['11111111'],['[]']
ningathengi,Ningathengi.,"['11111111', '11111111']","['[]', '[]']"
ningathengi,Ningathengi.,['11111111'],['[]']
ningathengi,Ningathengi.,"['11111111', '11111111']","['[]', '[]']"
ningathenge,Ningathengi.,"['11111111', '11111111']","['[]', '[]']"
nikathengi,Ningathengi.,['11011111'],['[]']
ningathengi,Ningathengi.,['11111111'],['[]']
ningathengi,Ningathengi.,['11111111'],['[]']
githengi,Ningathengi.,['00101111'],['[]']
ngithandile,Ngithandile.,['111111111'],['[]']
uyabutha,Ngithandile.,['111111111'],['[]']
ingithandile,Ngithandile.,"['111111111', '111111111']","['[]', '[""0""]']"
ngithandile,Ngithandile.,"['111111111', '011111111']","['[]', '[]']"
engithandeli,Ngithandile.,['111111111'],['[]']
ngithandile,Ngithandile.,"['111111111', '111111111']","['[]', '[]']"
ngithandile,Ngithandile.,['111111111'],['[]']
ningithandele,Ngithandile.,"['111111011', '111111011']","['[""0""]', '[""0""]']"
niyekathindile,Ngithandile.,['001111111'],"['[""1""]']"
ngithandile,Ngithandile.,"['111111111', '111111111']","['[]', '[]']"
ngithandile,Ngithandile.,['111111111'],['[]']
igitandeli,Ngithandile.,"['SKIPPED', '111111010']","[None, '[""0""]']"
uyabutha,Uyabutha.,"['1111111', '1111111']","['[]', '[]']"
ngiyabusa,Uyabutha.,['1111111'],['[]']
uyabutha,Uyabutha.,"['1111111', '1110111']","['[]', '[]']"
uyabutha,Uyabutha.,"['1111111', '1111111', '1111111']","['[]', '[]', '[]']"
uyabutha,Uyabutha.,"['1111111', '1111111']","['[]', '[]']"
uyabutha,Uyabutha.,['1111111'],['[]']
uyabutha,Uyabutha.,['1111111'],['[]']
uyabutha,Uyabutha.,"['1111111', '1111111', '1110111']","['[]', '[]', '[]']"
uyabutha,Uyabutha.,['1110111'],['[]']
uyabutha,Uyabutha.,['1110111'],['[]']
uyabutha,Uyabutha.,['1111111'],['[]']
uyaphutha,Uyabutha.,"['1111111', '1110111']","['[]', '[]']"
ngiyabusa,Ngiyabusa.,"['11111111', '11111111']","['[]', '[]']"
abathande,Ngiyabusa.,['11111111'],['[]']
ngiyabusa,Ngiyabusa.,['11110111'],"['[""0""]']"
ngiyabusa,Ngiyabusa.,['11111111'],['[]']
ngiyabusa,Ngiyabusa.,['11111111'],['[]']
ngiyabusa,Ngiyabusa.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
ngiyabusa,Ngiyabusa.,['11111111'],['[]']
ngiyabusa,Ngiyabusa.,"['11111111', '11111111']","['[]', '[]']"
ningibhaso,Ngiyabusa.,['00000000'],"['[""0""]']"
ngiyabusa,Ngiyabusa.,['11110111'],['[]']
ngiyabusa,Ngiyabusa.,['11111111'],"['[""0""]']"
ngiyapuza,Ngiyabusa.,['11110111'],['[]']
abathande,Abathande.,['11111111'],['[]']
akhabuye masi nyane,Abathande.,['11111111'],['[]']
abathande,Abathande.,"['11111111', '11111111']","['[]', '[]']"
abathande,Abathande.,"['11111111', '11111111']","['[]', '[]']"
abathande,Abathande.,"['11111111', '11111111']","['[]', '[]']"
abathane,Abathande.,"['11111110', '11111111', '11111111']","['[]', '[]', '[]']"
abathande,Abathande.,['11111111'],['[]']
abathande,Abathande.,"['11111111', '11111111']","['[]', '[]']"
abathande,Abathande.,['11111111'],['[]']
abathande,Abathande.,['10111111'],['[]']
abathande,Abathande.,['11111111'],['[]']
abanthane,Abathande.,['10111100'],"['[""3""]']"
akhabuye masiniyane,Akabuye masinyane.,"['1011111111111111', '1011111111111111']","['[]', '[]']"
ingiha mba nehashi,Akabuye masinyane.,['1111111111111111'],['[]']
akhabuye masinyane,Akabuye masinyane.,"['1011111111111111', '1011111111111111', '1010111111111111']","['[]', '[]', '[]']"
akabuye masinyane,Akabuye masinyane.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
akabuye masinyane,Akabuye masinyane.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
akabuye msinyane,Akabuye masinyane.,"['1111111110111111', '1111110110111111']","['[]', '[]']"
akabuye masinyane,Akabuye masinyane.,['1111111111111111'],['[]']
akabuye masingane,Akabuye masinyane.,"['1111111111110111', '1010111111110101']","['[]', '[]']"
akhabuye masiyeni,Akabuye masinyane.,"['1111111111110011', '1011111111110000']","['[""13""]', '[]']"
akabuye masinyane,Akabuye masinyane.,['1010111111111111'],['[]']
akhabuye masinyane,Akabuye masinyane.,['1111111111111111'],['[]']
akhapule masinyane,Akabuye masinyane.,['1111101111111111'],"['[""5"", ""6""]']"
ihamba nehashi,Ngihamba nehhashi.,"['11111111110111', '11111111111111', '11111111110111']","['[]', '[]', '[]']"
ungalethi ubuhe,Ngihamba nehhashi.,['11111111111111'],['[]']
kihamba nehashi,Ngihamba nehhashi.,"['11111111110111', '11111111110111']","['[]', '[]']"
ngihamba nehhashi,Ngihamba nehhashi.,"['01111111111111', '01111111111111']","['[]', '[]']"
ngihamba nehhashi,Ngihamba nehhashi.,"['11111111111111', '11111111111111']","['[]', '[]']"
ngihamba nehashi,Ngihamba nehhashi.,['11011111111111'],['[]']
ngihamba neashi,Ngihamba nehhashi.,['11011111111111'],['[]']
ngihamba nishashe,Ngihamba nehhashi.,['11111111110111'],['[]']
ngihambe shashey,Ngihamba nehhashi.,['11111101000111'],['[]']
ngihamba nehashe,Ngihamba nehhashi.,['11111111110111'],['[]']
ngihamba nehashi,Ngihamba nehhashi.,['11111111110111'],['[]']
ngihamba nge hashini,Ngihamba nehhashi.,['11111111110111'],"['[""0"", ""9"", ""14""]']"
ungalethi ubuthi,Ungalethi ubuthi.,"['1111111111111', '1111111111111']","['[]', '[]']"
uyobiza,Ungalethi ubuthi.,['1111111111111'],['[]']
unga lethi ubuthi,Ungalethi ubuthi.,['1111111110111'],['[]']
ungalethi ubu thi,Ungalethi ubuthi.,['1011111111111'],['[]']
ungalethi ubuthi,Ungalethi ubuthi.,"['1111111111111', '1111111111111']","['[]', '[]']"
unga lethi ubuthi,Ungalethi ubuthi.,"['1111111111111', '1111111111111']","['[]', '[]']"
ungalethi ubuthi,Ungalethi ubuthi.,['1111111111111'],['[]']
ungalethi ubuthi,Ungalethi ubuthi.,"['1011111111111', '1111111111111']","['[]', '[""1""]']"
ukale thini ubhuthi,Ungalethi ubuthi.,['1011111110111'],"['[""7""]']"
ungalethi ubuthi,Ungalethi ubuthi.,['1111111111111'],['[]']
ungalethi ubuthi,Ungalethi ubuthi.,['1111111110111'],"['[""1""]']"
ungalethi umbuthini,Ungalethi ubuthi.,['1111111111111'],"['[""13""]']"
uyobiza,Uyobiza.,['1110111'],['[]']
izintho zendlala,Uyobiza.,['1111111'],['[]']
uyobisa,Uyobiza.,"['1110111', '1110111']","['[]', '[]']"
uyobiza,Uyobiza.,"['1111111', '1111111']","['[]', '[]']"
uyobiza,Uyobiza.,"['1111111', '1111111', '1111111']","['[]', '[]', '[]']"
uyobiza,Uyobiza.,"['1111111', '1111111']","['[]', '[]']"
uyobyiza,Uyobiza.,['1111111'],['[]']
uyobiza,Uyobiza.,"['1110111', '1110111']","['[]', '[]']"
uyobiza,Uyobiza.,['1110111'],['[]']
uyobiza,Uyobiza.,['1111111'],['[]']
uyobiza,Uyobiza.,['1110111'],['[]']
uzobiza,Uyobiza.,['1010111'],['[]']
pekhani,Bhekani.,"['110101', '110111']","['[]', '[]']"
bhekani,Bhekani.,['110111'],['[]']
bhekani,Bhekani.,['110111'],['[]']
bhekani,Bhekani.,['111111'],['[]']
bhekane,Bhekani.,"['111111', '111111']","['[]', '[]']"
bhekani,Bhekani.,['111111'],['[]']
bhekani,Bhekani.,['111111'],['[]']
bekhanye,Bhekani.,"['110111', '111111', '110111']","['[]', '[]', '[]']"
bhekhani,Bhekani.,['110111'],['[]']
bekani,Bhekani.,['110111'],['[]']
bhekhani,Bhekani.,['110111'],['[]']
beketane,Bhekani.,['110000'],['[]']
izintho zindala,Izinto zindala.,"['11110111111111', '11110111111111']","['[]', '[]']"
uyafundisa,Izinto zindala.,['11111111111111'],['[]']
isinto sendlala,Izinto zindala.,"['11111111110111', '11111111110011', '11111111110111']","['[]', '[""11""]', '[]']"
izinto zin dala,Izinto zindala.,['11111111111111'],['[]']
izinto zin dala,Izinto zindala.,"['11111111111111', '11111111111111']","['[]', '[]']"
izinto zin dala,Izinto zindala.,['11111111111111'],['[]']
izinto zin dala,Izinto zindala.,['11111111111111'],['[]']
izontho zi dala,Izinto zindala.,"['11010111111111', '11011111111111']","['[]', '[]']"
izinto zitala,Izinto zindala.,['11111111101111'],['[]']
izinto zen dala,Izinto zindala.,['11111111111111'],['[]']
izintho zintala,Izinto zindala.,['11110111111111'],['[]']
izing sotho zihlala,Izinto zindala.,['11100011110111'],"['[""6"", ""11""]']"
uyafundisa,Uyafundisa.,"['1111111111', '1111111111']","['[]', '[]']"
tinamhashi,Uyafundisa.,['1111111111'],['[]']
uyafundisa,Uyafundisa.,"['1111111111', '1111111111']","['[]', '[]']"
uyasifundisa,Uyafundisa.,"['1111111111', '1111111111']","['[""3""]', '[]']"
uyafundisa,Uyafundisa.,['1111111111'],['[]']
uyafundisa,Uyafundisa.,['1111111111'],['[]']
uyafundisa,Uyafundisa.,['1111111111'],['[]']
uyafundisa,Uyafundisa.,"['1111111111', '1111111101']","['[]', '[]']"
uyafundisa,Uyafundisa.,['1111111111'],['[]']
uyafundisa,Uyafundisa.,['1111111111'],['[]']
uyafundisa,Uyafundisa.,['1111111111'],['[]']
uya fun disa,Uyafundisa.,['1111111111'],['[]']
namahashi,Sinamahhashi.,"['1111110111', '1111110111']","['[]', '[]']"
siyobhala,Sinamahhashi.,['1111100111'],['[]']
inamahashi,Sinamahhashi.,"['1111111111', '1111110111']","['[]', '[]']"
sinamahhashi,Sinamahhashi.,"['1111111111', '1111111111']","['[]', '[]']"
sinamahashi,Sinamahhashi.,"['1111111111', '1111111111']","['[]', '[]']"
sinamashi,Sinamahhashi.,"['1111111111', '1111111111']","['[]', '[]']"
sinamahashi,Sinamahhashi.,['1111111111'],['[]']
cinamshashe,Sinamahhashi.,"['1111100110', '1111000001']","['[]', '[]']"
sinamashashi,Sinamahhashi.,"['1111111111', '1111110011']","['[]', '[]']"
sinamahashe,Sinamahhashi.,['1111111111'],['[]']
sinamahlashi,Sinamahhashi.,['1111110111'],['[]']
cinamabhasini,Sinamahhashi.,['1111110111'],"['[""6"", ""10""]']"
siyobhala,Siyobhala.,['11111111'],['[]']
nihamba ngamahashi namuhla,Siyobhala.,['11111111'],['[]']
iyobhala,Siyobhala.,['11111111'],['[]']
siyobhala,Siyobhala.,"['11111111', '11111111']","['[]', '[]']"
siyobhala,Siyobhala.,"['11111111', '11111111']","['[]', '[]']"
siyobhala,Siyobhala.,['11111111'],['[]']
siyobhala,Siyobhala.,['11111111'],['[]']
siyobhala,Siyobhala.,['11111111'],['[]']
siyobhala,Siyobhala.,['11111111'],['[]']
siyobhala,Siyobhala.,['11111111'],['[]']
siyobhala,Siyobhala.,['11111111'],['[]']
sizohlala,Siyobhala.,['11000011'],['[]']
nihamba ngamahashi namuhla,Nihamba ngamahhashi namuhla.,"['11111111111101111111111', '11111111111101111111101']","['[]', '[]']"
imifula ibhanzi ikakhulu,Nihamba ngamahhashi namuhla.,['11111111111111111111111'],['[]']
yihamba ngamashini namuhla,Nihamba ngamahhashi namuhla.,['01111111111101111111111'],['[]']
nihamba ngamahhashi namuhla,Nihamba ngamahhashi namuhla.,"['11111111111111111111111', '11111111111111111111111']","['[]', '[]']"
nihamba ngamahhashina amuhle,Nihamba ngamahhashi namuhla.,"['11111111111111111111111', '11111111111111111111111', '11111111111111111111111']","['[]', '[]', '[]']"
niyamba ngamahhashi namuhla,Nihamba ngamahhashi namuhla.,['11011111111111111111111'],['[]']
nihamba ngamahashinamuhla,Nihamba ngamahhashi namuhla.,['11011111111111111111111'],['[]']
nihamba inganamhlashi nambushla,Nihamba ngamahhashi namuhla.,"['11111111111101111110111', '11111111110000111111101']","['[]', '[""10""]']"
nihamba ngamashashi nanuhle,Nihamba ngamahhashi namuhla.,"['11111111111100111110110', '11111111111101111111110']","['[""23""]', '[]']"
nihamba ngamahashe namuhla,Nihamba ngamahhashi namuhla.,['11111111111101111111111'],['[]']
nihamba ngamashi namuhla,Nihamba ngamahhashi namuhla.,['11111111111101111111111'],['[]']
ngihamba kahambasini namoluha,Nihamba ngamahhashi namuhla.,['01111111110000101111100'],"['[""16"", ""21""]']"
imifula ibanzi kakhulu,Imifula ibanzi kakhulu.,"['111111111111111011111', '111111111011111011111']","['[]', '[]']"
nibelaphi na,Imifula ibanzi kakhulu.,['111111111111111111111'],['[]']
imifula ibhansi kakhulu,Imifula ibanzi kakhulu.,"['111111111011111011111', '111111111011111011111']","['[]', '[]']"
imifula ibanzi kakhulu,Imifula ibanzi kakhulu.,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
imifula ibanzi kakhulu,Imifula ibanzi kakhulu.,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
imifla ibanzi kakhulu,Imifula ibanzi kakhulu.,"['111111111111111111111', '111111111111111111111', '111111111111111111111']","['[]', '[]', '[]']"
imifula ibanzi kakhu,Imifula ibanzi kakhulu.,['111111111111111111111'],['[]']
imifula ibanzi ikakhulu,Imifula ibanzi kakhulu.,"['111111111111111011111', '111111111011111011111']","['[]', '[]']"
imifula imbazi khakhulu,Imifula ibanzi kakhulu.,['111111111010111011111'],['[]']
imifula ibanzi kakhulu,Imifula ibanzi kakhulu.,['111111111011111011111'],['[]']
imifula ibanzi ikhakhulu,Imifula ibanzi kakhulu.,['111111111011111011111'],['[]']
imifula ibasini kakhulu,Imifula ibanzi kakhulu.,['111111111010001011111'],"['[""14""]']"
ivela phi na,Nivelaphi na?,"['11111111111', '11111111111']","['[]', '[]']"
yebokhodwa abantulapha baphaimpela,Nivelaphi na?,['11111111111'],['[]']
nive la phina,Nivelaphi na?,"['11111111111', '11111111111']","['[]', '[]']"
nivelaphina,Nivelaphi na?,['11111111111'],['[]']
nivela phe na,Nivelaphi na?,"['11111111111', '11111111111']","['[]', '[]']"
nivelapina,Nivelaphi na?,"['11111111111', '11111111111']","['[]', '[]']"
nivel aphina,Nivelaphi na?,['11111111111'],['[]']
nivelapini,Nivelaphi na?,"['11111111110', '11111111110']","['[]', '[]']"
ni vela phina,Nivelaphi na?,['11111111111'],['[]']
nive lapi na,Nivelaphi na?,['11111111111'],['[]']
nivela phina,Nivelaphi na?,['11111111111'],['[]']
ingilapi na,Nivelaphi na?,['00011111111'],['[]']
yebo codaye abantulapha babaimpela,"Yebo, kodwa abantu lapha babi impela.","['1111101111111110111111111111110111', '1111111111111111111111111111111111']","['[]', '[]']"
kubizamalini ukhuzalapha enyuvesi,"Yebo, kodwa abantu lapha babi impela.",['1111111111111111111111111011111111'],"['[""26""]']"
yebokotwa abantulapha babeimpela,"Yebo, kodwa abantu lapha babi impela.",['1111111111111111111111111111110111'],['[]']
yebokodwa abantulapha babaimpela,"Yebo, kodwa abantu lapha babi impela.","['1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]']"
yebo kodwaabantulapha babeempela,"Yebo, kodwa abantu lapha babi impela.","['1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[""18""]']"
yebokodwawabantulapha babi impela,"Yebo, kodwa abantu lapha babi impela.","['1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]']"
yebokodwaabantulapha babeimpela,"Yebo, kodwa abantu lapha babi impela.",['1111111111111111111111111111111111'],['[]']
yobocadwa abantulabababi imphela,"Yebo, kodwa abantu lapha babi impela.",['1111101111111111111111111111111111'],['[]']
yebo kodwaamanzulapha babiimphila,"Yebo, kodwa abantu lapha babi impela.",['1101111111110111111111111111110011'],['[]']
yebocodwa abantulapa babeimpela,"Yebo, kodwa abantu lapha babi impela.",['1111111111111111111111111111111111'],['[]']
yebocodwa abantulapha babiimphela,"Yebo, kodwa abantu lapha babi impela.",['1101101111110110111111101011110111'],['[]']
yebokhwalwa abantsulapi babiimpelwa,"Yebo, kodwa abantu lapha babi impela.",['1101101111110101111110101011110111'],"['[""33""]']"
bizamalini ukhuzalapha enyuvesitiy,Kubiza malini ukuza lapha enyuvesi?,"['11111111111111101111111111111111', '01111111111111101111111111111111']","['[]', '[]']"
uku thokhoza kuhle,Kubiza malini ukuza lapha enyuvesi?,['11111111111111111111111111111111'],['[]']
ubhiyzamalini ukhuzalapha eyovesi,Kubiza malini ukuza lapha enyuvesi?,"['01111111111111101111111111001111', '01011111111111101111111111001111']","['[]', '[]']"
kubizamalini ukuzalapha enyuvesi,Kubiza malini ukuza lapha enyuvesi? ,['111111111111111111111111111111111'],['[]']
s] kubzamalini ukuzalapha enyuvesi,Kubiza malini ukuza lapha enyuvesi?,['11111111111111111111111111111111'],"['[""0""]']"
kubizamalini ukuzalapha enyuvesi,Kubiza malini ukuza lapha enyuvesi?,"['11111111111111111111111111111111', '11111111111111111111111111111111']","['[]', '[]']"
kubzamalini ukuzalapho enyuvesi,Kubiza malini ukuza lapha enyuvesi?,['11111111111111111111111011111111'],['[]']
kubizamaleni ukuzalapha iniyovese,Kubiza malini ukuza lapha enyuvesi?,"['01111111110111101111111111111111', '11011111110111101111111110111111']","['[]', '[]']"
khubhizamalini ukhuzalapha enyevusi,Kubiza malini ukuza lapha enyuvesi?,['01011111111111101111111111101011'],['[]']
khubizamalini ukuzalapha enyuvesi,Kubiza malini ukuza lapha enyuvesi?,['11111111111111111111111111111111'],['[]']
kubhizamalini ukhuzalapha enyuversiy,Kubiza malini ukuza lapha enyuvesi?,['01011111111111101111111111111111'],"['[""25"", ""26""]']"
kubiza malini kukuzalabengevese,Kubiza malini ukuza lapha enyuvesi?,['11011111111111101111111010001101'],"['[""14""]']"
ukuthokhoza kuhle,Ukuthokoza kuhle.,['10111011110101'],['[]']
ungibumela abafana okuhambanamhlandle,Ukuthokoza kuhle.,['11111111111111'],['[]']
uku thokhoza kuhle,Ukuthokoza kuhle.,"['10111111110111', '10111011110111', '10111011110101']","['[]', '[""1"", ""5"", ""11""]', '[]']"
ukuthokoza kuhle,Ukuthokoza kuhle.,"['11111111111111', '11111111111111']","['[]', '[]']"
uku thokoza kuhle,Ukuthokoza kuhle.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
uku thokoza kuhle,Ukuthokoza kuhle.,['11111111111111'],['[]']
ukuthokoza kukwu hle,Ukuthokoza kuhle.,['11111111111111'],['[]']
uku thokhoza kushle,Ukuthokoza kuhle.,"['10111111110111', '10111011110111']","['[]', '[]']"
uko thokhoza kuhle,Ukuthokoza kuhle.,['10111011110111'],['[]']
uku dokoza kuhle,Ukuthokoza kuhle.,['11101011111111'],['[]']
uku thokhoza kuhle,Ukuthokoza kuhle.,['11111111110111'],['[]']
uku thokhoza kuhle,Ukuthokoza kuhle.,['10111011110111'],['[]']
ufakazi uyakhuluma manje futhi,Ufakazi uyakhuluma manje futhi.,"['1110111111111111111111111111', '1110111111111111111111111111', '1110111111111111111111111111']","['[]', '[""4""]', '[]']"
ufakazi uyakhuluma manjefuthi,Ufakazi uyakhuluma manje futhi.,['1111111111111111111111111111'],['[]']
ufasi uyakhuluma manje futhi,Ufakazi uyakhuluma manje futhi.,"['1110011111111111111111111111', '1110011111111111111111111111']","['[]', '[]']"
ufakazi uyakhuluma manje futhi,Ufakazi uyakhuluma manje futhi.,['1111111111111111111111111111'],['[]']
ufakazi uyakhuluma manjefuthi,Ufakazi uyakhuluma manje futhi.,"['1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]']"
bakazikhuluma manje futhi,Ufakazi uyakhuluma manje futhi.,"['1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]']"
ufakazi uyakhuluma manje futhi,Ufakazi uyakhuluma manje futhi.,['1111111111111111111111111111'],['[]']
ufasikhazi uyakhuhluma manjefuthi,Ufakazi uyakhuluma manje futhi.,"['1110111111111001111111111111', '1110111111111011111111111111']","['[""2""]', '[""3""]']"
ufakazi uyakhuluma manjefuthi,Ufakazi uyakhuluma manje futhi.,['1110111111111111111111111111'],['[]']
ufakazi uyakhuluma manje futhi,Ufakazi uyakhuluma manje futhi.,['1110111111111111111111111111'],['[]']
ufakazi uyakhuluma manjefuthi,Ufakazi uyakhuluma manje futhi.,['1110111111111111111111111111'],['[]']
ufakazi uyakhuluma manje futhi,Ufakazi uyakhuluma manje futhi.,['1111111111111111111111111111'],['[]']
ngivumela abafanaokuhambananslantshe,Ngivumela abafana ukuhamba namhlanje.,"['1111111111111111110111111111101111', '1111111111111111110111111111101111']","['[]', '[]']"
umfaziushaya abantwana ngenduku,Ngivumela abafana ukuhamba namhlanje.,['1111111111111111111111111111111111'],['[]']
ingivumela abafanaukuhambanamhlanje,Ngivumela abafana ukuhamba namhlanje.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[""0""]']"
ngivumela abafana okuhamba namhlanje,Ngivumela abafana ukuhamba namhlanje.,"['1111111111111111111111111111111111', '0111111111111111111111111111111111']","['[]', '[]']"
ngivumela abafana okuhambanamhlanje,Ngivumela abafana ukuhamba namhlanje.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]']"
ngivumela abafana obuhamba namhlanje,Ngivumela abafana ukuhamba namhlanje.,"['1111111111111111111101111111111111', '1111111111111111111111111111111111', '1111111111111111111101111111111111']","['[]', '[]', '[]']"
ngivumela abafana ukuhamba namhlanje,Ngivumela abafana ukuhamba namhlanje.,['1111111111111111111101111111111111'],['[]']
inkivumela abafana ukuhambanamashle,Ngivumela abafana ukuhamba namhlanje.,"['1111111111111111110111111111001001', '1111111111111111111111111111000000']","['[]', '[""0""]']"
ningivumele abafanaookuhamba namhlanje,Ngivumela abafana ukuhamba namhlanje.,['0111111011011111110111111111111111'],['[]']
ngivumela abafanaakuhamba namhlanje,Ngivumela abafana ukuhamba namhlanje.,['1111111111111111111111111111111111'],['[]']
ngivumila abafana ukuhamba namhlanje,Ngivumela abafana ukuhamba namhlanje.,['1111101111111111110111111111111111'],['[]']
ingivemula abanfana ukuhabanamanje,Ngivumela abafana ukuhamba namhlanje.,['1110101111111111111111110111100111'],"['[""0"", ""12""]']"
umfazi ushaya abantwana ngenduku,Umfazi ushaya abantwana ngenduku.,"['111111111111111110111111111111', '111111111111111111111111111111', '111111111111110110111111111111']","['[]', '[]', '[]']"
uh lala no bani,Umfazi ushaya abantwana ngenduku.,['111111111111111111111111111111'],['[]']
umfazi ushaya abantwana engedukhu,Umfazi ushaya abantwana ngenduku.,"['111111111111111111111110100111', '111111111111111111111111101101']","['[]', '[]']"
umfazi ushaya abantwana ngenduko,Umfazi ushaya abantwana ngenduku.,"['111111111111111111111111111111', '111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]', '[]']"
kaziushaya abantwana ngentuku,Umfazi ushaya abantwana ngenduku.,"['111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]']"
umfaze ushaya abantwana ngenduku,Umfazi ushaya abantwana ngenduku.,"['111111101111111111111111111111', '111111111111111111111111111111']","['[]', '[]']"
umfazi ushaya abantwana ngenduku,Umfazi ushaya abantwana ngenduku.,['111111111111111111111111111111'],['[]']
umfazi ushaya abanthwana ingiduko,Umfazi ushaya abantwana ngenduku.,['111111111111111110111111000111'],['[]']
ufazi ushaya ubuthwana ngedukhu,Umfazi ushaya abantwana ngenduku.,['111111111111101011111111101111'],['[]']
umfazi ushaya abantwanangentuko,Umfazi ushaya abantwana ngenduku.,"['111111111111111111111111111111', '111111111111111111111111101111']","['[]', '[]']"
umfazi ushaya abantwana ngenduku,Umfazi ushaya abantwana ngenduku.,['111111111111111110111111111111'],['[]']
umfazi ushala abantswana ngetuko,Umfazi ushaya abantwana ngenduku.,['111111111101111111111111101111'],['[]']
uh lala nobani,Uhlala nobani?,"['111111111111', '101111111111']","['[]', '[]']"
asisebenze ngamandla namuhla,Uhlala nobani?,['111111111111'],['[]']
uhlala nombani,Uhlala nobani?,"['111111110111', '111111110111', '111111110111']","['[]', '[]', '[""8""]']"
uhlala nobani,Uhlala nobani?,"['111111111111', '111111111111']","['[]', '[]']"
uhlala no bani,Uhlala nobani?,['111111111111'],['[]']
uhlala nobani,Uhlala nobani?,['111111111111'],['[]']
uhlala nobani,Uhlala nobani?,['111111111111'],['[]']
ush lahla nobanye,Uhlala nobani?,['101011111111'],['[]']
hlahla no bhani,Uhlala nobani?,['111011110111'],['[]']
uhlala nobani,Uhlala nobani?,['111111111111'],['[]']
uh lala nobhani,Uhlala nobani?,['111111110111'],['[]']
uhlala nombani,Uhlala nobani?,['111111111111'],['[]']
asisebenze ngamandla namuhla,Asisebenze ngamandla namuhla.,['1111101111111111111111101'],['[]']
sihamba ngamahashi,Asisebenze ngamandla namuhla.,['1111111111111111111111111'],['[]']
asebenza ngamandla namuhla,Asisebenze ngamandla namuhla.,"['1110001110111111111111111', '1110001110111111111111111']","['[]', '[]']"
